City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
475,Labis,MY,75.83,clear sky,2.385,103.021,Labis Sunrise Farm
478,Lagarto,BR,79.09,overcast clouds,-10.9172,-37.65,Pousada Cota
483,Sawakin,SD,89.29,clear sky,19.1059,37.3321,فندق الدويم
485,Radis,TN,76.91,clear sky,36.7681,10.2753,Dar latifa
496,Binzhou,CN,75.06,light rain,37.3667,118.0167,Hampton By Hilton Binzhou
504,Cururupu,BR,81.81,moderate rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
506,Ribas Do Rio Pardo,BR,81.03,light rain,-20.4431,-53.7592,Pousada Avenida
508,Nanakuli,US,82.35,clear sky,21.3906,-158.1547,Camp Pālehua
509,Hami,CN,78.12,overcast clouds,42.8,93.45,Laoyutang Resort
511,Mastic Beach,US,86.95,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
518,Creston,US,87.24,scattered clouds,41.0586,-94.3614,Supertel Inn & Conference Center
523,Akyab,MM,82.29,broken clouds,20.15,92.9,Hotel Memory
524,Belmonte,BR,78.8,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
526,Boyolangu,ID,75.38,broken clouds,-8.1181,111.8935,Yos ega cv
527,Am Timan,TD,85.23,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
536,Buchanan,LR,80.01,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
542,Aksu,CN,79.03,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
549,Axim,GH,80.96,scattered clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
550,Wamba,NG,81.59,light rain,8.9333,8.6,Roma Zee Guest House Annex
551,Rurrenabaque,BO,78.69,broken clouds,-14.4413,-67.5278,Casa de Campo
553,Sulangan,PH,78.76,moderate rain,11.1373,123.7228,Maia's Beach Resort
558,Sabang,ID,83.35,overcast clouds,5.8933,95.3214,Hotel Citra
561,Anastacio,BR,75.36,overcast clouds,-20.4836,-55.8069,HOTEL ARARAS
562,Price,US,81.66,clear sky,39.5994,-110.8107,National 9 - Price River Inn
564,Bouna,CI,76.59,light rain,9.2667,-3.0,Hotel Reserve
577,Westport,US,88.77,clear sky,41.1415,-73.3579,The Westport Inn
579,High Rock,BS,86.02,broken clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
586,Vallenar,CL,77.65,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
591,Basoko,CD,77.02,scattered clouds,1.2391,23.616,Jackyna Hotel
592,Salinopolis,BR,82.49,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
595,Abha,SA,80.42,few clouds,18.2164,42.5053,Abha Hotel
599,La Ciotat,FR,80.49,clear sky,43.1748,5.6045,ibis La Ciotat
603,Auki,SB,76.73,broken clouds,-8.7676,160.7034,Auki Motel
610,Amos,CA,80.58,scattered clouds,48.5669,-78.1162,"Amosphère, complexe hôtelier"
612,Carbondale,US,76.96,moderate rain,37.7273,-89.2168,Best Western Saluki Inn
613,Ternate,ID,80.6,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
622,Chino Valley,US,84.81,clear sky,34.7575,-112.4538,Primrose Inn & Suites
623,Qunduz,AF,85.66,clear sky,36.729,68.857,Spin Zar cotton company
625,Soller,ES,75.85,clear sky,39.7662,2.7152,Hotel Marina & Wellness Spa
626,Banjar,ID,80.46,broken clouds,-8.19,114.9675,The Hamsa Resort
627,Zanesville,US,85.08,broken clouds,39.9404,-82.0132,"Holiday Inn Express & Suites Zanesville North, an IHG Hotel"
643,Prainha,BR,87.17,overcast clouds,-1.8,-53.48,Casa Rocha
647,Guarapari,BR,81.91,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
656,Miraflores,MX,75.87,scattered clouds,19.2167,-98.8083,Hotel Mansión
659,Junqueiro,BR,75.36,overcast clouds,-9.9253,-36.4758,POUSADA E RESTAURANTE QUEROMAIS
660,Ariquemes,BR,89.2,broken clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
674,Sao Filipe,CV,79.3,clear sky,14.8961,-24.4956,Hotel Xaguate
677,Talara,PE,77.76,clear sky,-4.5772,-81.2719,Hostal Oro Negro
682,Oka,CA,89.49,overcast clouds,45.4649,-74.0889,Parc national d'Oka
685,Santarem,BR,86.13,broken clouds,-2.4431,-54.7083,Ecotur Lodge
